title,filename,source_fulltext_url,fulltext_url,version,copyright_statement,distribution_license,embargo_date,keywords,Abstract,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,author6_fname,author6_mname,author6_lname,author6_suffix,author6_email,author6_institution,author6_is_corporate,author7_fname,author7_mname,author7_lname,author7_suffix,author7_email,author7_institution,author7_is_corporate,author8_fname,author8_mname,author8_lname,author8_suffix,author8_email,author8_institution,author8_is_corporate,author9_fname,author9_mname,author9_lname,author9_suffix,author9_email,author9_institution,author9_is_corporate,author10_fname,author10_mname,author10_lname,author10_suffix,author10_email,author10_institution,author10_is_corporate,author11_fname,author11_mname,author11_lname,author11_suffix,author11_email,author11_institution,author11_is_corporate,author12_fname,author12_mname,author12_lname,author12_suffix,author12_email,author12_institution,author12_is_corporate,author13_fname,author13_mname,author13_lname,author13_suffix,author13_email,author13_institution,author13_is_corporate,author14_fname,author14_mname,author14_lname,author14_suffix,author14_email,author14_institution,author14_is_corporate,author15_fname,author15_mname,author15_lname,author15_suffix,author15_email,author15_institution,author15_is_corporate,author16_fname,author16_mname,author16_lname,author16_suffix,author16_email,author16_institution,author16_is_corporate,author17_fname,author17_mname,author17_lname,author17_suffix,author17_email,author17_institution,author17_is_corporate,author18_fname,author18_mname,author18_lname,author18_suffix,author18_email,author18_institution,author18_is_corporate,author19_fname,author19_mname,author19_lname,author19_suffix,author19_email,author19_institution,author19_is_corporate,author20_fname,author20_mname,author20_lname,author20_suffix,author20_email,author20_institution,author20_is_corporate,article_desc,disciplines,comments,create_openurl,custom_citation,document_type,doi,honors_pub,issn,volnum,issnum,source_publication,fpage,lpage,peer_reviewed,mcnair,orcid_id,publication_date,season
"Effective implementation of a mapping swarm of robots",!!!put FileName Here!!!,,,,,,,"control engineering computing, multi-robot systems, protocols, sensors, robotic swarm mapping, motors, mounts, wheels, chassis material, sensors, workable communication protocol, software, Robot sensing systems, Robotic assembly, Base stations, Orbital robotics, Batteries, Microcontrollers, Radio frequency, Polyethylene, Plastics, Gears","There are several driving factors involved in the development of a robotic swarm. On the hardware side, assembly should be adaptable, easily reproduced, and relatively inexpensive. Motors, mounts, wheels, and chassis material must be chosen as well as appropriate sensors. A workable communication protocol must be determined. Software should be concise and common to each robot in the swarm while meeting the requirements of the desired function.","C.",,"Churavy",,,"Fenn Coll. of Eng., Cleveland State Univ., Cleveland, OH",,"M.",,"Baker",,,"Fenn Coll. of Eng., Cleveland State Univ., Cleveland, OH",,"S.",,"Mehta",,,"Fenn Coll. of Eng., Cleveland State Univ., Cleveland, OH",,"I.",,"Pradhan",,,"Fenn Coll. of Eng., Cleveland State Univ., Cleveland, OH",,"N.",,"Scheidegger",,,"Fenn Coll. of Eng., Cleveland State Univ., Cleveland, OH",,"S.",,"Shanfelt",,,"Fenn Coll. of Eng., Cleveland State Univ., Cleveland, OH",,"R.",,"Rarick",,,"",,"D.",,"Simon",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"journal","10.1109/MPOT.2008.924855",,,"27","4","IEEE Potentials","28","33",,,,"July-Aug. 2008",,
"Optimal design of a transfemoral prosthesis with energy storage and regeneration",!!!put FileName Here!!!,,,,,,,"DC generators, DC motors, evolutionary computation, prosthetics, transfemoral prosthesis, energy storage, energy regeneration, preliminary optimal design, electromechanical above-knee active prosthesis, DC motor-generator, direct current motor-generator, supercapacitor, energy management, mechanics, sensor-based control, biogeography-based optimization, evolutionary algorithm, Simulink models, prosthesis design, knee angle tracking, positive torque, negative torque, human movement, Optimization algorithms, Biologically-inspired methods, Modeling and simulation","We describe the preliminary optimal design of an electromechanical above-knee active prosthesis with energy storage and regeneration. A DC motor-generator applies a positive or negative torque to the knee. The control system regulates the exchange of energy between the motor-generator and a supercapacitor. The central idea of the design is motivated by the mechanics, energy management, and sensor-based control that constitute human movement. We use biogeography-based optimization, which is an evolutionary algorithm, to optimize the system parameters, and we evaluate its performance with SimulinkÂ® models. We optimize three alternative prosthesis designs. Simulation results indicate that the prosthesis can be optimized to achieve knee angle tracking with an RMS error on the order of 0.2 degrees.","R.",,"Rarick",,,"Cleveland State University, OH 44115, USA",,"H.",,"Richter",,,"Cleveland State University, OH 44115, USA",,"A.",,"Bogert",,,"Cleveland State University, OH 44115, USA",,"D.",,"Simon",,,"Cleveland State University, OH 44115, USA",,"H.",,"Warner",,,"Cleveland State University, OH 44115, USA",,"T.",,"Barto",,,"Cleveland State University, OH 44115, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ACC.2014.6859051",,,"","","2014 American Control Conference","4108","4113",,,,"4-6 June 2014",,
"Biogeography-based optimization and the solution of the power flow problem",!!!put FileName Here!!!,,,,,,,"evolutionary computation, load flow, Monte Carlo methods, biogeography-based optimization, evolutionary algorithm, power flow problem, geographical distribution, biological organisms, IEEE 30-bus test case system, Monte Carlo simulation, Load flow, Evolutionary computation, Genetic algorithms, Biogeography, Power generation, Mathematical model, Nonlinear equations, Linear matrix inequalities, Sparse matrices, USA Councils, Biogeography-Based Optimization, Power Flow Problem, Genetic Algorithms, Evolutionary Algorithms, Power Systems","Biogeography-based optimization (BBO) is a novel evolutionary algorithm that is based on the mathematics of biogeography. Biogeography is the study of the geographical distribution of biological organisms. In the BBO model, problem solutions are represented as islands, and the sharing of features between solutions is represented as immigration and emigration between the islands. This paper presents an application of the BBO algorithm to the power flow problem for an IEEE 30-bus test case system. The BBO solution is compared with the solution of the same problem using a genetic algorithm (GA). The results of Monte Carlo simulations indicate that the BBO algorithm consistently performs better than the GA in determining an optimal solution to the power flow problem.","R.",,"Rarick",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"D.",,"Simon",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"F.",,"Villaseca",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"B.",,"Vyakaranam",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ICSMC.2009.5346046",,,"","","2009 IEEE International Conference on Systems, Man and Cybernetics","1003","1008",,,,"11-14 Oct. 2009",,
"Ground reaction force estimation in prosthetic legs with an extended Kalman filter",!!!put FileName Here!!!,,,,,,,"Prosthetics, Legged locomotion, Knee, Robot kinematics, Estimation, Hip, ground reaction force (GRF), state estimation, prosthetic leg, extended Kalman filter (EKF)","A method to estimate ground reaction forces (GRFs) in a robot/prosthesis system is presented. The system includes a robot that emulates human hip and thigh motion, along with a powered (active) prosthetic leg for transfemoral amputees, and includes four degrees of freedom (DOF): vertical hip displacement, thigh angle, knee angle, and ankle angle. We design a continuous-time extended Kalman filter (EKF) to estimate not only the states of the robot/prosthesis system, but also the GRFs that act on the prosthetic foot. The simulation results show that the average RMS estimation errors of the thigh, knee, and ankle angles are 0.007, 0.015, and 0.465 rad with the use of four, two, and one measurements respectively. The average GRF estimation errors are 2.914, 7.595, and 20.359 N with the use of four, two, and one measurements respectively. It is shown via simulation that the state estimates remain bounded if the initial estimation errors and the disturbances are sufficiently small.","S.",,"Fakoorian",,,"Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, Ohio",,"D.",,"Simon",,,"Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, Ohio",,"H.",,"Richter",,,"Department of Mechanical Engineering, Cleveland State University, Cleveland, Ohio",,"V.",,"Azimi",,,"Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/SYSCON.2016.7490563",,,"","","2016 Annual IEEE Systems Conference (SysCon)","1","6",,,,"18-21 April 2016",,
"Markov Models for Biogeography-Based Optimization",!!!put FileName Here!!!,,,,,,,"ecology, evolutionary computation, Markov processes, mathematical operators, Markov model, biogeography based optimization, population based evolutionary algorithm, geographical distribution, biological organism, mutation operator, probability distribution, Genetic mutations, Biological system modeling, Evolutionary computation, Biogeography, Mathematics, Convergence, H infinity control, Biological systems, Genetic algorithms, Simulated annealing, Biogeography-based optimization (BBO), evolutionary algorithms (EAs), Markov models, Algorithms, Biological Evolution, Computer Simulation, Cybernetics, Geography, Markov Chains, Models, Biological","Biogeography-based optimization (BBO) is a population-based evolutionary algorithm that is based on the mathematics of biogeography. Biogeography is the science and study of the geographical distribution of biological organisms. In BBO, problem solutions are analogous to islands, and the sharing of features between solutions is analogous to the migration of species. This paper derives Markov models for BBO with selection, migration, and mutation operators. Our models give the theoretically exact limiting probabilities for each possible population distribution for a given problem. We provide simulation results to confirm the Markov models.","D.",,"Simon",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA",,"M.",,"Ergezer",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA",,"D.",,"Du",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA",,"R.",,"Rarick",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"journal","10.1109/TSMCB.2010.2051149",,,"41","1","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","299","306",,,,"Feb. 2011",,
"Evolutionary optimization of user intent recognition for transfemoral amputees",!!!put FileName Here!!!,,,,,,,"evolutionary computation, feature extraction, gait analysis, medical signal processing, optimisation, principal component analysis, prosthetics, signal classification, evolutionary optimization, transfemoral amputees, lower-limb prosthetic legs, walking ability, human gait mode, mechanical sensor data, able-bodied subject, user intent recognition, feature extraction, principal component analysis, correlation analysis, K-nearest neighbor methods, evolutionary algorithm, walking modes, Legged locomotion, Correlation, Optimization, Principal component analysis, Classification algorithms, Feature extraction, Training, user intent recognition, lower-limb prosthesis, evolutionary algorithm, K nearest neighbor","Lower-limb prosthetic legs help amputees regain their walking ability. User intent recognition is utilized to infer human gait mode (fast walk, slow walk, etc.) so the controller can be adjusted depending on the detected gait mode. In this paper, mechanical sensor data is collected from an able-bodied subject and used for user intent recognition. Feature extraction, principal component analysis, correlation analysis, and K-nearest neighbor methods are used, modified, and optimized with an evolutionary algorithm for improved performance. The optimized system successfully classifies four different walking modes with an accuracy of 96%.","G.",,"Khademi",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"H.",,"Mohammadi",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"D.",,"Simon",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"E.",,"Hardin",,,"Motion Study Laboratory, Cleveland VA Medical Center, Cleveland, Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/BioCAS.2015.7348280",,,"","","2015 IEEE Biomedical Circuits and Systems Conference (BioCAS)","1","4",,,,"22-24 Oct. 2015",,
"Semiactive virtual control of a hydraulic prosthetic knee",!!!put FileName Here!!!,,,,,,,"electromechanical actuators, force control, hydraulic actuators, least mean squares methods, medical robotics, motion control, optimisation, position control, prosthetics, torque control, semiactive virtual control, hydraulic prosthetic knee, hydraulic actuator, transfemoral prosthesis, knee angle tracking, able-bodied walking, robotic hip emulator, vertical hip displacement, thigh angle motion, electromechanical actuator, direct force control, torque control servos, hydraulic valve, online optimization problem, root mean square, Prosthetics, Knee, Valves, Legged locomotion, Hip","The paper considers the problem of controlling a novel hydraulic actuator to be used in a transfemoral (above-knee) prosthesis. The control objective is tracking of knee angle reference data corresponding to able-bodied walking. The forces and velocities appearing in a prosthesis when worn by a person are simulated with a two degree-of-freedom robotic hip emulator which allows the prosthesis to walk on a treadmill. The robot produces vertical hip displacement and thigh angle motions using electromechanical actuators with direct force and torque control servos, respectively. Control inputs for the prosthetic knee are the instantaneous positions of two hydraulic valves. The integrated hip robot and prosthesis is controlled using a semiactive virtual control approach. First, a virtual controller is designed for the integrated model, assuming full control authority over the joints. Then, an online optimization problem is solved to find the valve positions that minimize the difference between the actual moment and the moment demanded by the virtual controller. Simulation studies were conducted to evaluate the feasibility of the approach. Knee angle tracking was possible with a root mean square average of 2.2 degrees (approx. 3% of the full range of knee motion), with ground reaction force magnitudes comparable to able-bodied walking data.","H.",,"Richter",,,"Cleveland State University, United States of America",,"Xin",,"Hui",,,"Cleveland State University, United States of America",,"A.",,"Bogert",,,"Cleveland State University, United States of America",,"D.",,"Simon",,,"Cleveland State University, United States of America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/CCA.2016.7587867",,,"","","2016 IEEE Conference on Control Applications (CCA)","422","429",,,,"19-22 Sept. 2016",,
"Switched robust tracking/impedance control for an active transfemoral prosthesis",!!!put FileName Here!!!,,,,,,,"evolutionary computation, prosthetics, robust control, switched robust tracking-impedance control, active transfemoral prosthesis, published controllers, gait features, energy regeneration, evolutionary optimization algorithm, ankle joints, knee joints, Impedance, Robustness, Switches, Prosthetics, Knee, Hip","A novel control method for an active transfemoral prosthesis is developed based on the combination of two previously published controllers, robust tracking/impedance control and switched impedance control. This controller is simulated and optimized to provide desired gait features and energy regeneration. Specifically, an evolutionary optimization algorithm termed biogeography-based optimization is used. Across all optimization trials a tracking error on the order of 10-2 rad rms or less results for both the knee and ankle joints. This is accompanied by ground reaction forces approximating able-bodied gait data and an energy regeneration capacity of about 9.6 J per stride.","H.",,"Warner",,,"Cleveland State University, OH, United States",,"D.",,"Simon",,,"Cleveland State University, OH, United States",,"H.",,"Mohammadi",,,"Cleveland State University, OH, United States",,"H.",,"Richter",,,"Cleveland State University, OH, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ACC.2016.7525242",,,"","","2016 American Control Conference (ACC)","2187","2192",,,,"6-8 July 2016",,
"Extended Kalman filtering for state estimation of a Hill muscle model",!!!put FileName Here!!!,,,,,,,"electromyography, Kalman filters, measurement errors, medical signal processing, nonlinear filters, observers, system constraints, projection approach, dimensionless muscle activation estimation errors, standard deviation, muscle length measurement noise, contractile muscle elements, passive muscle elements, high gain observer, electromyography sensors, activation signal estimation, joint angles, unknown-input estimation, single-muscle Hill models, two-muscle Hill models, EKF, state estimation, extended Kalman filtering","The objectives of this study are five-fold: (i) design an extended Kalman filter (EKF) for the single-muscle and two-muscle Hill models; (ii) design an EKF for unknown-input estimation of the muscle models; (iii) investigate the detectability of the muscle models; (iv) examine the robustness of the EKF to modeling errors; and (v) improve state estimation by incorporating physical constraints into the estimator. Two noisy measurements are available for state estimation: muscle length, which is measured from joint angles; and muscle activation, which is measured from electromyography sensors. Simulation results verify that the EKF is an effective approach for estimation of the activation signals and the states of the system if the system is detectable; the EKF outperforms the high gain observer; and the EKF is robust to modeling errors. The standard deviations of the estimation errors are in the range 0.01-0.1 mm for the muscle lengths, which is one to two orders of magnitude more accurate than the measurements. The standard deviations of the dimensionless muscle activation estimation errors are in the range 0.01-0.02, which is one order of magnitude more accurate than the measurements. A projection approach accounts for constraints to further improve the estimates.","H.",,"Mohammadi",,,,,"H.",,"Yao",,,,,"G.",,"Khademi",,,,,"T.",,"Nguyen",,,,,"D.",,"Simon",,,,,"H.",,"Richter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"journal","10.1049/iet-cta.2017.0645",,,"12","3","IET Control Theory & Applications","384","394",,,,"13 2 2018",,
"Derivative-free Kalman filtering-based control of prosthetic legs",!!!put FileName Here!!!,,,,,,,"artificial limbs, Kalman filters, medical robotics, PD control, PI control, robot dynamics, robust control, state estimation, derivative-free Kalman filtering-based control, state estimation-based control, thigh motion, human hip motion, powered transfemoral prosthetic leg, robot-prosthesis combination, three-degree-of-freedom robot, vertical hip displacement, thigh angle, knee angle, n-DOF robotic system, robot dynamics, PD, PI, disturbance compensators, supervisory control, robust DKF, three-DOF robot-prosthesis system, Kalman filters, Legged locomotion, Robustness, Nonlinear systems, Prosthetics, Standards","A derivative-free method for state estimation-based control of a robot/prosthesis system is presented. The system is the combination of a test robot that emulates human hip and thigh motion, and a powered transfemoral prosthetic leg. The robot/prosthesis combination is modeled as a three degree-of-freedom (DOF) robot: vertical hip displacement, thigh angle, and knee angle. We develop a derivative-free Kalman filter (DKF) for state estimation-based control for an n-DOF robotic system. We then propose a method to make the DKF robust when the robot dynamics include disturbances. In the robust DKF, we use two different methods for disturbance rejection: PD and PI. These disturbance compensators are used for supervisory control to make the DKF robust in the presence of disturbances. The simulation results show the advantages of the DKF and the robust DKF for the three-DOF robot/prosthesis system for state estimation-based control.","S.",,"Moosavi",,,,,"S.",,"Fakoorian",,,,,"V.",,"Azimi",,,,,"H.",,"Richter",,,,,"D.",,"Simon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.23919/ACC.2017.7963763",,,"","","2017 American Control Conference (ACC)","5205","5210",,,,"24-26 May 2017",,
